,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-197-3p,-0.63503858778085,8.98611317745661,-1.88056145309346,0.0660852405075846,0.0902627675225546,-5.49027424541288,-1.83784505440362,1.0444913548248698,NS
hsa-miR-103a-3p,-0.336304163988322,12.2849121495977,-1.84518410304555,0.0716656730802862,0.0974096527304861,-5.57068384831386,-1.80123611008782,1.0113980049296925,NS
hsa-miR-181a-3p,-0.720060767579415,7.16220461044363,-1.82529291635884,0.0752187014627668,0.101745103427897,-5.55393076414207,-1.77912847384255,0.9924864824016603,NS
hsa-miR-125b-2-3p,0.591649900014438,6.62414977759895,1.80819883918771,0.0771061219104172,0.103796702571715,-5.58074391095957,1.76772958303207,0.983816442996764,NS
hsa-miR-425-3p,-0.578160675458007,6.78177891113298,-1.79243610036555,0.077639792631688,0.103934361214873,-5.61435250036751,-1.76454781459856,0.983240848795576,NS
hsa-miR-663a,0.872846231392774,8.47629356993939,1.809055054879,0.0779507709111544,0.103934361214873,-5.54194064771096,1.76270195475319,0.983240848795576,NS
hsa-miR-222-3p,0.454773495122538,10.9546805622908,1.74642215819861,0.087924340179255,0.116676849526973,-5.74489856364551,1.70644993489968,0.9330153060803285,NS
hsa-miR-10396b-3p,-0.979321923859391,6.60932128431186,-1.712824220364,0.0914329203045411,0.120760460779583,-5.74297808864477,-1.6878870119373,0.9180752385302873,NS
hsa-miR-1273h-5p,-1.0822708962678,10.6598031584843,-1.70821785424345,0.0946160229190034,0.124377870503854,-5.68925858155327,-1.67153514461931,0.9052568830936684,NS
hsa-miR-301a-3p,0.306314147802965,10.980903962107,1.70310420035349,0.0967823845779181,0.126080968451738,-5.76096582061197,1.660656848346,0.8993504639437453,NS
hsa-miR-548z,-0.981818074603867,7.26921855351272,-1.69676245391645,0.0968121722040134,0.126080968451738,-5.74646317094778,-1.66050863512081,0.8993504639437453,NS
hsa-miR-126-5p,0.51092686550466,9.99767693781155,1.66018357800972,0.101615294065742,0.131723529344481,-5.85520411391521,1.63707263287446,0.8803366415017454,NS
